StudentID,Date,Status
S006,2023-09-10,Present
S006,2023-09-11,Present
S006,2023-09-12,Present
S006,2023-09-13,Present
S006,2023-09-14,Late
S006,2023-09-15,Absent
S006,2023-09-16,Present
S006,2023-09-17,Present
S006,2023-09-18,Present
S006,2023-09-19,Present
S006,2023-09-20,Present
S006,2023-09-21,Late
S006,2023-09-22,Present
S006,2023-09-23,Present
S006,2023-09-24,Absent
S006,2023-09-25,Absent
S006,2023-09-26,Present
S006,2023-09-27,Present
S006,2023-09-28,Present
S006,2023-09-29,Present
S006,2023-09-30,Present
S007,2023-09-01,Absent
S007,2023-09-02,Present
S007,2023-09-03,Late
S007,2023-09-04,Present
S007,2023-09-05,Present
S007,2023-09-06,Present
S007,2023-09-07,Absent
S007,2023-09-08,Present
S007,2023-09-09,Present
S007,2023-09-10,Present
S007,2023-09-11,Present
S007,2023-09-12,Present
S007,2023-09-13,Present
S007,2023-09-14,Late
S007,2023-09-15,Present
S007,2023-09-16,Absent
S007,2023-09-17,Present
S007,2023-09-18,Present
S007,2023-09-19,Late
S007,2023-09-20,Absent
S007,2023-09-21,Late
S007,2023-09-22,Late
S007,2023-09-23,Absent
S007,2023-09-24,Present
S007,2023-09-25,Present
S007,2023-09-26,Present
S007,2023-09-27,Present
S007,2023-09-28,Present
S007,2023-09-29,Present
S007,2023-09-30,Late
S008,2023-09-01,Present
S008,2023-09-02,Absent
S008,2023-09-03,Present
S008,2023-09-04,Present
S008,2023-09-05,Late
S008,2023-09-06,Late
S008,2023-09-07,Present
S008,2023-09-08,Absent
S008,2023-09-09,Present
S008,2023-09-10,Present
S008,2023-09-11,Late
S008,2023-09-12,Present
S008,2023-09-13,Present
S008,2023-09-14,Absent
S008,2023-09-15,Present
S008,2023-09-16,Present
S008,2023-09-17,Present
S008,2023-09-18,Absent
S008,2023-09-19,Present
S008,2023-09-20,Late
S008,2023-09-21,Present
S008,2023-09-22,Present
S008,2023-09-23,Present
S008,2023-09-24,Present
S008,2023-09-25,Present
S008,2023-09-26,Present
S008,2023-09-27,Absent
S008,2023-09-28,Present
S008,2023-09-29,Present
S008,2023-09-30,Present
S009,2023-09-01,Present
S009,2023-09-02,Present
S009,2023-09-03,Present
S009,2023-09-04,Late
S009,2023-09-05,Present
S009,2023-09-06,Absent
S009,2023-09-07,Present
S009,2023-09-08,Present
S009,2023-09-09,Present
S009,2023-09-10,Present
S009,2023-09-11,Present
S009,2023-09-12,Absent
S009,2023-09-13,Present
S009,2023-09-14,Present
S009,2023-09-15,Late
S009,2023-09-16,Late
S009,2023-09-17,Present
S009,2023-09-18,Present
S009,2023-09-19,Present
S009,2023-09-20,Late
S009,2023-09-21,Absent
S009,2023-09-22,Absent
S009,2023-09-23,Present
S009,2023-09-24,Present
S009,2023-09-25,Absent
S009,2023-09-26,Absent
S009,2023-09-27,Present
S009,2023-09-28,Late
S009,2023-09-29,Present
S009,2023-09-30,Present
S010,2023-09-01,Absent
S010,2023-09-02,Present
S010,2023-09-03,Present
S010,2023-09-04,Late
S010,2023-09-05,Present
S010,2023-09-06,Present
S010,2023-09-07,Present
S010,2023-09-08,Present
S010,2023-09-09,Present
S010,2023-09-10,Present
S010,2023-09-11,Absent
S010,2023-09-12,Present
S010,2023-09-13,Present
S010,2023-09-14,Present
S010,2023-09-15,Present
S010,2023-09-16,Late
S010,2023-09-17,Absent
S010,2023-09-18,Present
S010,2023-09-19,Present
S010,2023-09-20,Present
S010,2023-09-21,Present
S010,2023-09-22,Absent
S010,2023-09-23,Present
S010,2023-09-24,Present
S010,2023-09-25,Absent
S010,2023-09-26,Present
S010,2023-09-27,Present
S010,2023-09-28,Present
S010,2023-09-29,Present
S010,2023-09-30,Absent
S011,2023-09-01,Late
S011,2023-09-02,Present
S011,2023-09-03,Absent
S011,2023-09-04,Present
S011,2023-09-05,Present
S011,2023-09-06,Present
S011,2023-09-07,Present
S011,2023-09-08,Absent
S011,2023-09-09,Absent
S011,2023-09-10,Absent
S011,2023-09-11,Absent
S011,2023-09-12,Present
S011,2023-09-13,Present
S011,2023-09-14,Present
S011,2023-09-15,Absent
S011,2023-09-16,Absent
S011,2023-09-17,Present
S011,2023-09-18,Present
S011,2023-09-19,Present
S011,2023-09-20,Late
S011,2023-09-21,Absent
S011,2023-09-22,Late
S011,2023-09-23,Absent
S011,2023-09-24,Absent
S011,2023-09-25,Present
S011,2023-09-26,Absent
S011,2023-09-27,Present
S011,2023-09-28,Late
S011,2023-09-29,Absent
S011,2023-09-30,Absent
S012,2023-09-01,Absent
S012,2023-09-02,Present
S012,2023-09-03,Absent
S012,2023-09-04,Present
S012,2023-09-05,Absent
S012,2023-09-06,Absent
S012,2023-09-07,Present
S012,2023-09-08,Absent
S012,2023-09-09,Present
S012,2023-09-10,Present
S012,2023-09-11,Absent
S012,2023-09-12,Present
S012,2023-09-13,Present
S012,2023-09-14,Present
S012,2023-09-15,Present
S012,2023-09-16,Absent
S012,2023-09-17,Late
S012,2023-09-18,Present
S012,2023-09-19,Present
S012,2023-09-20,Present
S012,2023-09-21,Late
S012,2023-09-22,Present
S012,2023-09-23,Late
S012,2023-09-24,Present
S012,2023-09-25,Late
S012,2023-09-26,Present
S012,2023-09-27,Late
S012,2023-09-28,Present
S012,2023-09-29,Present
S012,2023-09-30,Present
S013,2023-09-01,Absent
S013,2023-09-02,Present
S013,2023-09-03,Present
S013,2023-09-04,Present
S013,2023-09-05,Present
S013,2023-09-06,Present
S013,2023-09-07,Present
S013,2023-09-08,Absent
S013,2023-09-09,Present
S013,2023-09-10,Late
S013,2023-09-11,Present
S013,2023-09-12,Absent
S013,2023-09-13,Absent
S013,2023-09-14,Present
S013,2023-09-15,Present
S013,2023-09-16,Present
S013,2023-09-17,Present
S013,2023-09-18,Present
S013,2023-09-19,Present
S013,2023-09-20,Absent
S013,2023-09-21,Absent
S013,2023-09-22,Present
S013,2023-09-23,Present
S013,2023-09-24,Present
S013,2023-09-25,Present
S013,2023-09-26,Present
S013,2023-09-27,Present
S013,2023-09-28,Present
S013,2023-09-29,Late
S013,2023-09-30,Present
S014,2023-09-01,Late
S014,2023-09-02,Present
S014,2023-09-03,Present
S014,2023-09-04,Present
S014,2023-09-05,Present
S014,2023-09-06,Present
S014,2023-09-07,Present
S014,2023-09-08,Present
S014,2023-09-09,Present
S014,2023-09-10,Present
S014,2023-09-11,Present
S014,2023-09-12,Present
S014,2023-09-13,Present
S014,2023-09-14,Late
S014,2023-09-15,Absent
S014,2023-09-16,Present
S014,2023-09-17,Present
S014,2023-09-18,Present
S014,2023-09-19,Present
S014,2023-09-20,Present
S014,2023-09-21,Absent
S014,2023-09-22,Absent
S014,2023-09-23,Present
S014,2023-09-24,Present
S014,2023-09-25,Present
S014,2023-09-26,Present
S014,2023-09-27,Present
S014,2023-09-28,Present
S014,2023-09-29,Absent
S014,2023-09-30,Present
S015,2023-09-01,Present
S015,2023-09-02,Present
S015,2023-09-03,Present
S015,2023-09-04,Present
S015,2023-09-05,Present
S015,2023-09-06,Present
S015,2023-09-07,Present
S015,2023-09-08,Present
S015,2023-09-09,Absent
S015,2023-09-10,Absent
S015,2023-09-11,Present
S015,2023-09-12,Present
S015,2023-09-13,Present
S015,2023-09-14,Late
S015,2023-09-15,Present
S015,2023-09-16,Present
S015,2023-09-17,Present
S015,2023-09-18,Absent
S015,2023-09-19,Present
S015,2023-09-20,Absent
S015,2023-09-21,Present
S015,2023-09-22,Late
S015,2023-09-23,Present
S015,2023-09-24,Late
S015,2023-09-25,Absent
S015,2023-09-26,Present
S015,2023-09-27,Absent
S015,2023-09-28,Present
S015,2023-09-29,Absent
S015,2023-09-30,Present
S016,2023-09-01,Absent
S016,2023-09-02,Absent
S016,2023-09-03,Present
S016,2023-09-04,Present
S016,2023-09-05,Present
S016,2023-09-06,Present
S016,2023-09-07,Absent
S016,2023-09-08,Present
S016,2023-09-09,Present
S016,2023-09-10,Present
S016,2023-09-11,Present
S016,2023-09-12,Present
S016,2023-09-13,Present
S016,2023-09-14,Present
S016,2023-09-15,Present
S016,2023-09-16,Present
S016,2023-09-17,Present
S016,2023-09-18,Present
S016,2023-09-19,Absent
S016,2023-09-20,Present
S016,2023-09-21,Present
S016,2023-09-22,Present
S016,2023-09-23,Present
S016,2023-09-24,Present
S016,2023-09-25,Present
S016,2023-09-26,Late
S016,2023-09-27,Present
S016,2023-09-28,Present
S016,2023-09-29,Absent
S016,2023-09-30,Absent
S017,2023-09-01,Present
S017,2023-09-02,Present
S017,2023-09-03,Present
S017,2023-09-04,Absent
S017,2023-09-05,Absent
S017,2023-09-06,Late
S017,2023-09-07,Present
S017,2023-09-08,Absent
S017,2023-09-09,Present
S017,2023-09-10,Present
S017,2023-09-11,Present
S017,2023-09-12,Present
S017,2023-09-13,Present
S017,2023-09-14,Present
S017,2023-09-15,Present
S017,2023-09-16,Present
S017,2023-09-17,Present
S017,2023-09-18,Present
S017,2023-09-19,Present
S017,2023-09-20,Present
S017,2023-09-21,Present
S017,2023-09-22,Present
S017,2023-09-23,Present
S017,2023-09-24,Present
S017,2023-09-25,Present
S017,2023-09-26,Present
S017,2023-09-27,Present
S017,2023-09-28,Present
S017,2023-09-29,Present
S017,2023-09-30,Present
S018,2023-09-01,Present
S018,2023-09-02,Present
S018,2023-09-03,Absent
S018,2023-09-04,Present
S018,2023-09-05,Absent
S018,2023-09-06,Absent
S018,2023-09-07,Present
S018,2023-09-08,Present
S018,2023-09-09,Present
S018,2023-09-10,Present
S018,2023-09-11,Late
S018,2023-09-12,Present
S018,2023-09-13,Present
S018,2023-09-14,Absent
S018,2023-09-15,Present
S018,2023-09-16,Absent
S018,2023-09-17,Late
S018,2023-09-18,Present
S018,2023-09-19,Present
S018,2023-09-20,Present
S018,2023-09-21,Present
S018,2023-09-22,Present
S018,2023-09-23,Present
S018,2023-09-24,Present
S018,2023-09-25,Present
S018,2023-09-26,Absent
S018,2023-09-27,Present
S018,2023-09-28,Present
S018,2023-09-29,Absent
S018,2023-09-30,Present
S019,2023-09-01,Absent
S019,2023-09-02,Late
S019,2023-09-03,Present
S019,2023-09-04,Present
S019,2023-09-05,Present
S019,2023-09-06,Present
S019,2023-09-07,Late
S019,2023-09-08,Present
S019,2023-09-09,Absent
S019,2023-09-10,Present
S019,2023-09-11,Present
S019,2023-09-12,Present
S019,2023-09-13,Present
S019,2023-09-14,Absent
S019,2023-09-15,Absent
S019,2023-09-16,Present
S019,2023-09-17,Present
S019,2023-09-18,Late
S019,2023-09-19,Absent
S019,2023-09-20,Present
S019,2023-09-21,Present
S019,2023-09-22,Present
S019,2023-09-23,Present
S019,2023-09-24,Present
S019,2023-09-25,Absent
S019,2023-09-26,Absent
S019,2023-09-27,Present
S019,2023-09-28,Late
S019,2023-09-29,Present
S019,2023-09-30,Absent
S020,2023-09-01,Absent
S020,2023-09-02,Present
S020,2023-09-03,Absent
S020,2023-09-04,Late
S020,2023-09-05,Present
S020,2023-09-06,Absent
S020,2023-09-07,Present
S020,2023-09-08,Present
S020,2023-09-09,Present
S020,2023-09-10,Absent
S020,2023-09-11,Present
S020,2023-09-12,Absent
S020,2023-09-13,Absent
S020,2023-09-14,Present
S020,2023-09-15,Absent
S020,2023-09-16,Present
S020,2023-09-17,Present
S020,2023-09-18,Present
S020,2023-09-19,Present
S020,2023-09-20,Present
S020,2023-09-21,Absent
S020,2023-09-22,Present
S020,2023-09-23,Present
S020,2023-09-24,Absent
S020,2023-09-25,Present
S020,2023-09-26,Absent
S020,2023-09-27,Absent
S020,2023-09-28,Present
S020,2023-09-29,Present
S020,2023-09-30,Late
