StudentID,Date,SessionDuration,PagesViewed
S008,2023-09-28,84.18,18
S008,2023-09-13,114.96,16
S008,2023-09-28,69.51,20
S008,2023-09-03,35.82,10
S008,2023-09-08,92.14,14
S008,2023-09-04,93.64,4
S008,2023-09-15,28.3,10
S008,2023-09-29,13.18,11
S008,2023-09-26,16.17,12
S009,2023-09-12,57.38,8
S009,2023-09-17,55.33,6
S009,2023-09-06,29.26,20
S009,2023-09-28,52.08,8
S009,2023-09-16,110.41,5
S009,2023-09-08,60.73,9
S009,2023-09-15,38.09,1
S009,2023-09-29,98.51,10
S009,2023-09-22,70.13,3
S009,2023-09-15,113.98,19
S010,2023-09-10,80.28,14
S010,2023-09-23,37.51,10
S010,2023-09-07,119.93,16
S010,2023-09-04,36.09,19
S010,2023-09-12,73.23,10
S010,2023-09-01,117.57,13
S010,2023-09-09,10.89,2
S010,2023-09-30,76.7,16
S010,2023-09-27,109.46,10
S010,2023-09-25,97.87,20
S011,2023-09-26,48.76,7
S011,2023-09-20,37.57,5
S011,2023-09-21,20.69,2
S011,2023-09-10,96.75,2
S011,2023-09-19,50.13,5
S011,2023-09-03,110.06,11
S011,2023-09-24,55.71,7
S011,2023-09-05,96.52,12
S011,2023-09-17,65.2,9
S011,2023-09-27,28.1,16
S012,2023-09-26,42.47,11
S012,2023-09-26,22.67,3
S012,2023-09-05,92.96,8
S012,2023-09-28,84.4,13
S012,2023-09-28,98.5,12
S012,2023-09-03,96.98,1
S012,2023-09-09,69.02,15
S012,2023-09-12,84.01,9
S012,2023-09-19,51.91,12
S012,2023-09-04,84.23,16
S013,2023-09-01,78.15,18
S013,2023-09-11,110.68,8
S013,2023-09-21,16.95,15
S013,2023-09-30,87.12,14
S013,2023-09-04,25.38,2
S013,2023-09-10,119.55,4
S013,2023-09-04,35.83,18
S013,2023-09-05,52.75,12
S013,2023-09-22,114.43,18
S013,2023-09-14,74.61,5
S014,2023-09-29,55.64,4
S014,2023-09-27,63.83,14
S014,2023-09-09,13.6,12
S014,2023-09-07,58.77,8
S014,2023-09-28,49.9,12
S014,2023-09-18,109.19,12
S014,2023-09-02,53.8,7
S014,2023-09-04,114.39,15
S014,2023-09-03,82.9,20
S014,2023-09-01,15.56,11
S015,2023-09-08,118.77,19
S015,2023-09-07,17.55,18
S015,2023-09-07,74.5,8
S015,2023-09-11,95.18,20
S015,2023-09-01,40.5,5
S015,2023-09-05,69.42,6
S015,2023-09-04,82.72,1
S015,2023-09-05,11.63,8
S015,2023-09-19,45.61,6
S015,2023-09-09,15.76,14
S016,2023-09-17,22.5,3
S016,2023-09-16,59.31,12
S016,2023-09-17,75.3,15
S016,2023-09-17,34.37,20
S016,2023-09-02,90.0,17
S016,2023-09-10,60.38,1
S016,2023-09-02,119.84,13
S016,2023-09-14,85.47,16
S016,2023-09-23,110.07,3
S016,2023-09-29,18.89,20
S017,2023-09-05,17.23,9
S017,2023-09-20,79.64,18
S017,2023-09-23,45.77,20
S017,2023-09-17,42.44,17
S017,2023-09-20,57.32,4
S017,2023-09-28,82.02,18
S017,2023-09-24,105.2,14
S017,2023-09-15,107.69,14
S017,2023-09-11,101.02,13
S017,2023-09-14,90.26,11
S018,2023-09-14,44.38,9
S018,2023-09-12,114.9,16
S018,2023-09-03,20.03,3
S018,2023-09-03,57.51,12
S018,2023-09-26,24.31,2
S018,2023-09-19,115.23,18
S018,2023-09-11,83.7,14
S018,2023-09-12,106.1,14
S018,2023-09-28,110.74,2
S018,2023-09-10,76.05,12
S019,2023-09-04,73.57,7
S019,2023-09-05,82.24,8
S019,2023-09-28,21.9,18
S019,2023-09-12,22.64,9
S019,2023-09-19,34.88,14
S019,2023-09-28,71.71,20
S019,2023-09-20,84.25,18
S019,2023-09-01,76.99,9
S019,2023-09-01,29.85,10
S019,2023-09-30,47.38,1
S020,2023-09-06,105.68,19
S020,2023-09-22,54.09,5
S020,2023-09-24,79.65,1
S020,2023-09-03,92.07,7
S020,2023-09-13,56.18,11
S020,2023-09-06,50.71,11
S020,2023-09-25,113.55,20
S020,2023-09-03,107.17,5
S020,2023-09-06,92.99,2
S020,2023-09-22,18.97,15
